Early Termination: -1 - 30 Epochs - MiniBatch Size 64

Epoch, Train-Loss, Train-Accuracy, Dev-Loss, Dev-Accuracy

1, 3.1655842045421942, 0.3770966640628027, 3.329029881561566, 0.34471610426950944
2, 3.1120947549586755, 0.41328648993997297, 3.396532166338998, 0.3602748030748096
3, 2.2172369481729532, 0.584312602564328, 2.7209238487678387, 0.4823196606458763
4, 1.9938191077755385, 0.6318021123593786, 2.655490026591546, 0.4875732472290244
5, 2.420861125681639, 0.5562726461764866, 3.0856252419006753, 0.42715700152282116
6, 1.6072520792479688, 0.7270564653808875, 2.527057420607648, 0.5419276622744083
7, 1.8101734249120158, 0.6846991706957125, 2.7434371048861212, 0.5013133967060059
8, 2.2569916121653706, 0.5890703642130289, 3.2156687151858194, 0.4219034149155855
9, 1.3314239455678274, 0.792112247932246, 2.4921731730137577, 0.5423317842831344
10, 1.0904358305552087, 0.8388418374651703, 2.4351096983798035, 0.5645584967382558
11, 1.1068502262807929, 0.8383902906426238, 2.485892403123354, 0.5556678117513898
12, 1.120440103395677, 0.8297778609903149, 2.556482201851987, 0.5374823197568876
13, 0.9215724204878175, 0.8732254760514984, 2.558577438416349, 0.5445544555178072
14, 0.6141405330942185, 0.9449663542550029, 2.2564191439581003, 0.5981006264855198
15, 0.644464619624541, 0.9337107236863842, 2.304500754468729, 0.587795514353696
16, 0.5646065613343423, 0.9506602495622198, 2.2052318502806925, 0.5974944433821021
17, 0.4883417309631612, 0.9669599885461294, 2.1929585698109055, 0.5991109315735761
18, 0.4028531432786578, 0.9846143679996475, 2.0438968626796226, 0.6282077188153632
19, 0.37463261306073825, 0.989107809557374, 2.0682708155292286, 0.628409779837792
20, 0.34516649854071735, 0.9906166367471008, 2.02222905107931, 0.6334613053985113
